t,theta1,theta2,x1,y1,x2,y2
0.000000e+000,7.853982e-001,1.570796e+000,7.071068e-001,-7.071068e-001,1.707107e+000,-7.071068e-001
1.000000e-001,7.626947e-001,1.537706e+000,6.908722e-001,-7.229769e-001,1.690325e+000,-7.560615e-001
2.000000e-001,6.996492e-001,1.433972e+000,6.439494e-001,-7.650681e-001,1.634604e+000,-9.014658e-001
3.000000e-001,6.115430e-001,1.247821e+000,5.741315e-001,-8.187631e-001,1.522427e+000,-1.136152e+000
4.000000e-001,5.222429e-001,9.650775e-001,4.988253e-001,-8.667025e-001,1.320918e+000,-1.436056e+000
5.000000e-001,4.502258e-001,5.843429e-001,4.351689e-001,-9.003489e-001,9.868203e-001,-1.734424e+000
6.000000e-001,3.650791e-001,1.632622e-001,3.570232e-001,-9.340955e-001,5.195611e-001,-1.920798e+000
7.000000e-001,2.008763e-001,-1.934684e-001,1.995281e-001,-9.798921e-001,7.264368e-003,-1.961235e+000
8.000000e-001,-5.381295e-002,-4.309258e-001,-5.378698e-002,-9.985524e-001,-4.714991e-001,-1.907132e+000
9.000000e-001,-3.659064e-001,-5.463012e-001,-3.577959e-001,-9.337998e-001,-8.773263e-001,-1.788252e+000
1.000000e+000,-6.756076e-001,-5.965436e-001,-6.253715e-001,-7.803271e-001,-1.187158e+000,-1.607609e+000
1.100000e+000,-9.159153e-001,-6.645226e-001,-7.931204e-001,-6.090649e-001,-1.409804e+000,-1.396276e+000
1.200000e+000,-1.056567e+000,-7.768511e-001,-8.706721e-001,-4.918640e-001,-1.571709e+000,-1.204989e+000
1.300000e+000,-1.094013e+000,-9.224584e-001,-8.884759e-001,-4.589232e-001,-1.685565e+000,-1.062786e+000
1.400000e+000,-1.033948e+000,-1.086099e+000,-8.593247e-001,-5.114304e-001,-1.744141e+000,-9.773709e-001
1.500000e+000,-8.956582e-001,-1.239560e+000,-7.806206e-001,-6.250051e-001,-1.726262e+000,-9.502175e-001
1.600000e+000,-7.104077e-001,-1.335107e+000,-6.521429e-001,-7.580960e-001,-1.624497e+000,-9.916090e-001
1.700000e+000,-5.023881e-001,-1.331376e+000,-4.815199e-001,-8.764351e-001,-1.452996e+000,-1.113574e+000
1.800000e+000,-2.926965e-001,-1.201739e+000,-2.885350e-001,-9.574693e-001,-1.221203e+000,-1.318205e+000
1.900000e+000,-1.156754e-001,-9.304234e-001,-1.154176e-001,-9.933171e-001,-9.172906e-001,-1.590812e+000
2.000000e+000,-2.265853e-002,-5.067691e-001,-2.265659e-002,-9.997433e-001,-5.080115e-001,-1.874061e+000
2.100000e+000,-3.860089e-002,5.928002e-002,-3.859130e-002,-9.992551e-001,2.065401e-002,-1.997499e+000
2.200000e+000,-2.218873e-002,5.897981e-001,-2.218691e-002,-9.997538e-001,5.340063e-001,-1.830807e+000
2.300000e+000,1.131122e-001,9.639268e-001,1.128712e-001,-9.936096e-001,9.343085e-001,-1.563908e+000
2.400000e+000,3.217205e-001,1.184645e+000,3.161993e-001,-9.486928e-001,1.242565e+000,-1.325318e+000
2.500000e+000,5.567831e-001,1.260017e+000,5.284579e-001,-8.489595e-001,1.480554e+000,-1.154760e+000
2.600000e+000,7.889643e-001,1.209720e+000,7.096239e-001,-7.045807e-001,1.645141e+000,-1.057862e+000
2.700000e+000,9.910001e-001,1.075930e+000,8.365743e-001,-5.478535e-001,1.716607e+000,-1.022767e+000
2.800000e+000,1.121681e+000,9.228532e-001,9.008318e-001,-4.341683e-001,1.698159e+000,-1.037716e+000
2.900000e+000,1.152808e+000,7.898177e-001,9.139073e-001,-4.059230e-001,1.624132e+000,-1.109898e+000
3.000000e+000,1.078000e+000,6.872179e-001,8.810135e-001,-4.730912e-001,1.515403e+000,-1.246105e+000
3.100000e+000,8.953958e-001,6.288834e-001,7.804566e-001,-6.252099e-001,1.368699e+000,-1.433895e+000
3.200000e+000,6.120596e-001,6.221060e-001,5.745544e-001,-8.184664e-001,1.157302e+000,-1.631119e+000
3.300000e+000,2.778570e-001,6.057453e-001,2.742955e-001,-9.616455e-001,8.436704e-001,-1.783723e+000
3.400000e+000,-2.956448e-002,4.776061e-001,-2.956018e-002,-9.995630e-001,4.300943e-001,-1.887661e+000
3.500000e+000,-2.592866e-001,2.025434e-001,-2.563911e-001,-9.665731e-001,-5.522969e-002,-1.946131e+000
3.600000e+000,-3.814613e-001,-2.032574e-001,-3.722771e-001,-9.281216e-001,-5.741378e-001,-1.907536e+000
3.700000e+000,-4.255021e-001,-6.665570e-001,-4.127782e-001,-9.108316e-001,-1.031062e+000,-1.696787e+000
3.800000e+000,-4.822988e-001,-1.058697e+000,-4.638170e-001,-8.859311e-001,-1.335535e+000,-1.375939e+000
3.900000e+000,-5.702997e-001,-1.336710e+000,-5.398843e-001,-8.417392e-001,-1.512611e+000,-1.073693e+000
4.000000e+000,-6.603065e-001,-1.512196e+000,-6.133589e-001,-7.898043e-001,-1.611642e+000,-8.483714e-001
4.100000e+000,-7.258428e-001,-1.601209e+000,-6.637660e-001,-7.479403e-001,-1.663304e+000,-7.175318e-001
4.200000e+000,-7.518131e-001,-1.615746e+000,-6.829643e-001,-7.304518e-001,-1.681954e+000,-6.855177e-001
4.300000e+000,-7.342851e-001,-1.560321e+000,-6.700566e-001,-7.423100e-001,-1.670002e+000,-7.527856e-001
4.400000e+000,-6.798856e-001,-1.430713e+000,-6.287041e-001,-7.776446e-001,-1.618909e+000,-9.172699e-001
4.500000e+000,-6.055320e-001,-1.215713e+000,-5.691996e-001,-8.221994e-001,-1.506817e+000,-1.169868e+000
4.600000e+000,-5.349031e-001,-9.029306e-001,-5.097577e-001,-8.603180e-001,-1.294903e+000,-1.479630e+000
4.700000e+000,-4.761388e-001,-5.021318e-001,-4.583509e-001,-8.887713e-001,-9.396461e-001,-1.765330e+000
4.800000e+000,-3.787475e-001,-9.341184e-002,-3.697570e-001,-9.291285e-001,-4.630330e-001,-1.924769e+000
4.900000e+000,-1.871237e-001,2.280976e-001,-1.860335e-001,-9.825434e-001,4.009127e-002,-1.956642e+000
5.000000e+000,9.320284e-002,4.241573e-001,9.306796e-002,-9.956598e-001,5.046209e-001,-1.907046e+000
5.100000e+000,4.210356e-001,5.072334e-001,4.087059e-001,-9.126662e-001,8.944667e-001,-1.786758e+000
5.200000e+000,7.263251e-001,5.560475e-001,6.641267e-001,-7.476201e-001,1.191960e+000,-1.596968e+000
5.300000e+000,9.467552e-001,6.460121e-001,8.115238e-001,-5.843194e-001,1.413531e+000,-1.382810e+000
5.400000e+000,1.062765e+000,7.849948e-001,8.737041e-001,-4.864578e-001,1.580526e+000,-1.193850e+000
5.500000e+000,1.074590e+000,9.567154e-001,8.793952e-001,-4.760926e-001,1.696699e+000,-1.052300e+000
5.600000e+000,9.924541e-001,1.141440e+000,8.373700e-001,-5.466365e-001,1.746604e+000,-9.629218e-001
5.700000e+000,8.430864e-001,1.300533e+000,7.466996e-001,-6.651614e-001,1.710400e+000,-9.321465e-001
5.800000e+000,6.565773e-001,1.385781e+000,6.104094e-001,-7.920861e-001,1.593343e+000,-9.760477e-001
5.900000e+000,4.512986e-001,1.363363e+000,4.361345e-001,-8.998815e-001,1.414697e+000,-1.105830e+000
6.000000e+000,2.475678e-001,1.211204e+000,2.450466e-001,-9.695113e-001,1.181087e+000,-1.321404e+000
6.100000e+000,8.267465e-002,9.160658e-001,8.258050e-002,-9.965844e-001,8.757925e-001,-1.605530e+000
6.200000e+000,1.140673e-002,4.664485e-001,1.140648e-002,-9.999349e-001,4.611235e-001,-1.893106e+000
6.300000e+000,5.038195e-002,-1.225453e-001,5.036064e-002,-9.987311e-001,-7.187821e-002,-1.991232e+000
6.400000e+000,3.392936e-002,-6.493960e-001,3.392285e-002,-9.994245e-001,-5.707826e-001,-1.795874e+000
