t,theta1,theta2,x1,y1,x2,y2
0.000000e+000,3.141593e+000,1.570796e+000,1.224606e-016,1.000000e+000,1.000000e+000,1.000000e+000
2.000000e-002,3.141592e+000,1.568834e+000,9.623609e-007,1.000000e+000,9.999990e-001,9.980380e-001
4.000000e-002,3.141577e+000,1.562948e+000,1.540128e-005,1.000000e+000,9.999846e-001,9.921520e-001
6.000000e-002,3.141515e+000,1.553138e+000,7.799679e-005,1.000000e+000,9.999221e-001,9.823426e-001
8.000000e-002,3.141346e+000,1.539402e+000,2.466312e-004,1.000000e+000,9.997539e-001,9.686111e-001
1.000000e-001,3.140990e+000,1.521739e+000,6.025246e-004,9.999998e-001,9.993994e-001,9.509618e-001
1.200000e-001,3.140342e+000,1.500142e+000,1.250447e-003,9.999992e-001,9.987554e-001,9.294032e-001
1.400000e-001,3.139274e+000,1.474601e+000,2.319025e-003,9.999973e-001,9.976959e-001,9.039506e-001
1.600000e-001,3.137631e+000,1.445103e+000,3.961158e-003,9.999922e-001,9.960721e-001,8.746295e-001
1.800000e-001,3.135238e+000,1.411624e+000,6.354553e-003,9.999798e-001,9.937133e-001,8.414785e-001
2.000000e-001,3.131890e+000,1.374132e+000,9.702367e-003,9.999529e-001,9.904262e-001,8.045540e-001
2.200000e-001,3.127358e+000,1.332587e+000,1.423391e-002,9.998987e-001,9.859959e-001,7.639354e-001
2.400000e-001,3.121386e+000,1.286934e+000,2.020536e-002,9.997959e-001,9.801862e-001,7.197302e-001
2.600000e-001,3.113689e+000,1.237109e+000,2.790024e-002,9.996107e-001,9.727412e-001,6.720812e-001
2.800000e-001,3.103954e+000,1.183034e+000,3.762960e-002,9.992918e-001,9.633871e-001,6.211739e-001
3.000000e-001,3.091841e+000,1.124622e+000,4.973130e-002,9.987626e-001,9.518356e-001,5.672447e-001
3.200000e-001,3.076980e+000,1.061775e+000,6.456804e-002,9.979133e-001,9.377899e-001,5.105904e-001
3.400000e-001,3.058975e+000,9.943932e-001,8.252343e-002,9.965891e-001,9.209519e-001,4.515774e-001
3.600000e-001,3.037409e+000,9.223772e-001,1.039950e-001,9.945778e-001,9.010345e-001,3.906507e-001
