t,theta1,theta2,x1,y1,x2,y2
0.000000e+000,1.570796e+000,7.853982e-001,1.000000e+000,-6.123032e-017,1.707107e+000,-7.071068e-001
4.000000e-002,1.562938e+000,7.854272e-001,9.999691e-001,-7.858205e-003,1.707096e+000,-7.149444e-001
8.000000e-002,1.539239e+000,7.858636e-001,9.995021e-001,-3.155238e-002,1.706938e+000,-7.383300e-001
1.200000e-001,1.499317e+000,7.877590e-001,9.974465e-001,-7.141819e-002,1.706221e+000,-7.768536e-001
1.600000e-001,1.442515e+000,7.928713e-001,9.917832e-001,-1.279298e-001,1.704155e+000,-8.297326e-001
2.000000e-001,1.367874e+000,8.036312e-001,9.794819e-001,-2.015324e-001,1.699363e+000,-8.956297e-001
2.400000e-001,1.274180e+000,8.229545e-001,9.563311e-001,-2.922856e-001,1.689489e+000,-9.723437e-001
2.800000e-001,1.160280e+000,8.535591e-001,9.169147e-001,-3.990833e-001,1.670539e+000,-1.056388e+000
3.200000e-001,1.026170e+000,8.960496e-001,8.553209e-001,-5.180985e-001,1.636186e+000,-1.142798e+000
3.600000e-001,8.751401e-001,9.454505e-001,7.676333e-001,-6.408893e-001,1.578394e+000,-1.226267e+000
4.000000e-001,7.147332e-001,9.896521e-001,6.554160e-001,-7.552681e-001,1.491251e+000,-1.304249e+000
4.400000e-001,5.533479e-001,1.014723e+000,5.255385e-001,-8.507698e-001,1.374873e+000,-1.378625e+000
4.800000e-001,3.964818e-001,1.011296e+000,3.861755e-001,-9.224253e-001,1.233696e+000,-1.453188e+000
5.200000e-001,2.471368e-001,9.750359e-001,2.446288e-001,-9.696168e-001,1.072351e+000,-1.530755e+000
5.600000e-001,1.077815e-001,9.045452e-001,1.075729e-001,-9.941972e-001,8.937171e-001,-1.612240e+000
6.000000e-001,-1.850166e-002,7.999750e-001,-1.850060e-002,-9.998288e-001,6.988381e-001,-1.696554e+000
6.400000e-001,-1.277528e-001,6.623122e-001,-1.274056e-001,-9.918507e-001,4.875363e-001,-1.780423e+000
6.800000e-001,-2.153838e-001,4.927481e-001,-2.137224e-001,-9.768944e-001,2.593265e-001,-1.857931e+000
7.200000e-001,-2.767797e-001,2.920256e-001,-2.732593e-001,-9.619404e-001,1.463335e-002,-1.919603e+000
7.600000e-001,-3.086579e-001,6.061484e-002,-3.037803e-001,-9.527421e-001,-2.432025e-001,-1.950906e+000
8.000000e-001,-3.129814e-001,-1.974406e-001,-3.078966e-001,-9.514198e-001,-5.040568e-001,-1.931992e+000
8.400000e-001,-3.035793e-001,-4.658842e-001,-2.989377e-001,-9.542726e-001,-7.481506e-001,-1.847697e+000
8.800000e-001,-3.017478e-001,-7.200264e-001,-2.971895e-001,-9.548185e-001,-9.565940e-001,-1.706607e+000
9.200000e-001,-3.192952e-001,-9.462482e-001,-3.138975e-001,-9.494569e-001,-1.125125e+000,-1.534188e+000
9.600000e-001,-3.566480e-001,-1.143206e+000,-3.491351e-001,-9.370724e-001,-1.259103e+000,-1.351752e+000
1.000000e+000,-4.098816e-001,-1.313099e+000,-3.985007e-001,-9.171680e-001,-1.365480e+000,-1.172023e+000
1.040000e+000,-4.742751e-001,-1.458090e+000,-4.566937e-001,-8.896240e-001,-1.450349e+000,-1.002092e+000
1.080000e+000,-5.453408e-001,-1.579902e+000,-5.187095e-001,-8.549506e-001,-1.518668e+000,-8.458447e-001
1.120000e+000,-6.191151e-001,-1.680083e+000,-5.803147e-001,-8.143923e-001,-1.574349e+000,-7.053226e-001
1.160000e+000,-6.922487e-001,-1.760239e+000,-6.382699e-001,-7.698127e-001,-1.620379e+000,-5.815014e-001
1.200000e+000,-7.620093e-001,-1.822113e+000,-6.903765e-001,-7.234503e-001,-1.658962e+000,-4.747708e-001
1.240000e+000,-8.262307e-001,-1.867561e+000,-7.353824e-001,-6.776524e-001,-1.691670e+000,-3.852244e-001
1.280000e+000,-8.832347e-001,-1.898458e+000,-7.727959e-001,-6.346547e-001,-1.719593e+000,-3.128248e-001
1.320000e+000,-9.317481e-001,-1.916589e+000,-8.026638e-001,-5.964318e-001,-1.743471e+000,-2.574891e-001
1.360000e+000,-9.708313e-001,-1.923550e+000,-8.253554e-001,-5.646136e-001,-1.763780e+000,-2.191303e-001
1.400000e+000,-9.998277e-001,-1.920661e+000,-8.413779e-001,-5.404473e-001,-1.780797e+000,-1.976765e-001
1.440000e+000,-1.018333e+000,-1.908905e+000,-8.512345e-001,-5.247855e-001,-1.794618e+000,-1.930821e-001
1.480000e+000,-1.026185e+000,-1.888887e+000,-8.553285e-001,-5.180860e-001,-1.805163e+000,-2.053327e-001
1.520000e+000,-1.023460e+000,-1.860814e+000,-8.539135e-001,-5.204149e-001,-1.812152e+000,-2.344457e-001
1.560000e+000,-1.010485e+000,-1.824498e+000,-8.470898e-001,-5.314498e-001,-1.815080e+000,-2.804605e-001
1.600000e+000,-9.878508e-001,-1.779376e+000,-8.348448e-001,-5.504854e-001,-1.813171e+000,-3.434151e-001
1.640000e+000,-9.564222e-001,-1.724544e+000,-8.171344e-001,-5.764472e-001,-1.805338e+000,-4.233041e-001
1.680000e+000,-9.173567e-001,-1.658821e+000,-7.939974e-001,-6.079211e-001,-1.790126e+000,-5.200096e-001
1.720000e+000,-8.721122e-001,-1.580812e+000,-7.656892e-001,-6.432107e-001,-1.765639e+000,-6.331948e-001
1.760000e+000,-8.224446e-001,-1.488995e+000,-7.328114e-001,-6.804318e-001,-1.729468e+000,-7.621415e-001
1.800000e+000,-7.703717e-001,-1.381823e+000,-6.964020e-001,-7.176519e-001,-1.678600e+000,-9.055025e-001
1.840000e+000,-7.180667e-001,-1.257861e+000,-6.579299e-001,-7.530791e-001,-1.609364e+000,-1.060931e+000
1.880000e+000,-6.676094e-001,-1.116033e+000,-6.191104e-001,-7.853039e-001,-1.517476e+000,-1.224553e+000
1.920000e+000,-6.204686e-001,-9.561096e-001,-5.814165e-001,-8.136061e-001,-1.398371e+000,-1.390309e+000
1.960000e+000,-5.765841e-001,-7.796596e-001,-5.451635e-001,-8.383298e-001,-1.248201e+000,-1.549483e+000
