t,theta1,theta2,x1,y1,x2,y2
0.000000e+000,3.141593e-002,3.141593e-002,3.141076e-002,-9.995066e-001,6.282152e-002,-1.999013e+000
1.000000e-002,3.140052e-002,3.141592e-002,3.139536e-002,-9.995070e-001,6.280612e-002,-1.999014e+000
2.000000e-002,3.135434e-002,3.141589e-002,3.134920e-002,-9.995085e-001,6.275992e-002,-1.999015e+000
3.000000e-002,3.127747e-002,3.141572e-002,3.127237e-002,-9.995109e-001,6.268292e-002,-1.999017e+000
4.000000e-002,3.117006e-002,3.141528e-002,3.116501e-002,-9.995143e-001,6.257513e-002,-1.999021e+000
5.000000e-002,3.103232e-002,3.141436e-002,3.102734e-002,-9.995185e-001,6.243653e-002,-1.999025e+000
6.000000e-002,3.086453e-002,3.141268e-002,3.085963e-002,-9.995237e-001,6.226714e-002,-1.999030e+000
7.000000e-002,3.066700e-002,3.140992e-002,3.066219e-002,-9.995298e-001,6.206695e-002,-1.999037e+000
8.000000e-002,3.044013e-002,3.140570e-002,3.043543e-002,-9.995367e-001,6.183596e-002,-1.999044e+000
9.000000e-002,3.018435e-002,3.139958e-002,3.017977e-002,-9.995445e-001,6.157419e-002,-1.999052e+000
1.000000e-001,2.990016e-002,3.139107e-002,2.989571e-002,-9.995530e-001,6.128163e-002,-1.999060e+000
1.100000e-001,2.958811e-002,3.137964e-002,2.958380e-002,-9.995623e-001,6.095829e-002,-1.999070e+000
1.200000e-001,2.924880e-002,3.136469e-002,2.924463e-002,-9.995723e-001,6.060418e-002,-1.999080e+000
1.300000e-001,2.888288e-002,3.134558e-002,2.887887e-002,-9.995829e-001,6.021932e-002,-1.999092e+000
1.400000e-001,2.849105e-002,3.132164e-002,2.848720e-002,-9.995942e-001,5.980372e-002,-1.999104e+000
1.500000e-001,2.807405e-002,3.129215e-002,2.807037e-002,-9.996059e-001,5.935741e-002,-1.999116e+000
1.600000e-001,2.763268e-002,3.125634e-002,2.762916e-002,-9.996182e-001,5.888041e-002,-1.999130e+000
1.700000e-001,2.716776e-002,3.121341e-002,2.716442e-002,-9.996310e-001,5.837276e-002,-1.999144e+000
1.800000e-001,2.668016e-002,3.116255e-002,2.667699e-002,-9.996441e-001,5.783450e-002,-1.999159e+000
