t,theta1,theta2,x1,y1,x2,y2
0.000000e+000,3.141593e-002,3.141593e-002,3.141076e-002,-9.995066e-001,6.282152e-002,-1.999013e+000
4.000000e-002,3.117006e-002,3.141528e-002,3.116501e-002,-9.995143e-001,6.257513e-002,-1.999021e+000
8.000000e-002,3.044013e-002,3.140570e-002,3.043543e-002,-9.995367e-001,6.183596e-002,-1.999044e+000
1.200000e-001,2.924880e-002,3.136469e-002,2.924463e-002,-9.995723e-001,6.060418e-002,-1.999080e+000
1.600000e-001,2.763268e-002,3.125634e-002,2.762916e-002,-9.996182e-001,5.888041e-002,-1.999130e+000
2.000000e-001,2.564059e-002,3.103356e-002,2.563778e-002,-9.996713e-001,5.666636e-002,-1.999190e+000
2.400000e-001,2.333134e-002,3.064112e-002,2.332922e-002,-9.997278e-001,5.396555e-002,-1.999258e+000
2.800000e-001,2.077101e-002,3.001913e-002,2.076952e-002,-9.997843e-001,5.078414e-002,-1.999334e+000
3.200000e-001,1.802996e-002,2.910707e-002,1.802898e-002,-9.998375e-001,4.713194e-002,-1.999414e+000
3.600000e-001,1.517965e-002,2.784782e-002,1.517907e-002,-9.998848e-001,4.302329e-002,-1.999497e+000
4.000000e-001,1.228958e-002,2.619171e-002,1.228927e-002,-9.999245e-001,3.847799e-002,-1.999582e+000
4.400000e-001,9.424261e-003,2.410024e-002,9.424121e-003,-9.999556e-001,3.352203e-002,-1.999665e+000
4.800000e-001,6.640663e-003,2.154931e-002,6.640614e-003,-9.999780e-001,2.818825e-002,-1.999746e+000
5.200000e-001,3.986024e-003,1.853172e-002,3.986014e-003,-9.999921e-001,2.251667e-002,-1.999820e+000
5.600000e-001,1.496268e-003,1.505890e-002,1.496268e-003,-9.999989e-001,1.655460e-002,-1.999885e+000
6.000000e-001,-8.049492e-004,1.116169e-002,-8.049492e-004,-9.999997e-001,1.035651e-002,-1.999937e+000
6.400000e-001,-2.906507e-003,6.890080e-003,-2.906503e-003,-9.999958e-001,3.983523e-003,-1.999972e+000
6.800000e-001,-4.809396e-003,2.312024e-003,-4.809377e-003,-9.999884e-001,-2.497355e-003,-1.999986e+000
7.200000e-001,-6.525633e-003,-2.488700e-003,-6.525586e-003,-9.999787e-001,-9.014283e-003,-1.999976e+000
7.600000e-001,-8.076577e-003,-7.415497e-003,-8.076489e-003,-9.999674e-001,-1.549192e-002,-1.999940e+000
8.000000e-001,-9.490745e-003,-1.236265e-002,-9.490603e-003,-9.999550e-001,-2.185294e-002,-1.999879e+000
8.400000e-001,-1.080125e-002,-1.721955e-002,-1.080104e-002,-9.999417e-001,-2.801974e-002,-1.999793e+000
8.800000e-001,-1.204302e-002,-2.187516e-002,-1.204273e-002,-9.999275e-001,-3.391615e-002,-1.999688e+000
9.200000e-001,-1.324996e-002,-2.622268e-002,-1.324957e-002,-9.999122e-001,-3.946924e-002,-1.999568e+000
9.600000e-001,-1.445219e-002,-3.016386e-002,-1.445169e-002,-9.998956e-001,-4.461097e-002,-1.999441e+000
1.000000e+000,-1.567361e-002,-3.361310e-002,-1.567297e-002,-9.998772e-001,-4.927974e-002,-1.999312e+000
1.040000e+000,-1.692981e-002,-3.650079e-002,-1.692900e-002,-9.998567e-001,-5.342168e-002,-1.999191e+000
1.080000e+000,-1.822648e-002,-3.877599e-002,-1.822547e-002,-9.998339e-001,-5.699174e-002,-1.999082e+000
1.120000e+000,-1.955853e-002,-4.040815e-002,-1.955729e-002,-9.998087e-001,-5.995444e-002,-1.998992e+000
1.160000e+000,-2.090974e-002,-4.138790e-002,-2.090822e-002,-9.997814e-001,-6.228430e-002,-1.998925e+000
1.200000e+000,-2.225314e-002,-4.172683e-002,-2.225130e-002,-9.997524e-001,-6.396602e-002,-1.998882e+000
1.240000e+000,-2.355202e-002,-4.145627e-002,-2.354984e-002,-9.997227e-001,-6.499423e-002,-1.998863e+000
1.280000e+000,-2.476159e-002,-4.062520e-002,-2.475906e-002,-9.996934e-001,-6.537308e-002,-1.998868e+000
1.320000e+000,-2.583111e-002,-3.929731e-002,-2.582824e-002,-9.996664e-001,-6.511543e-002,-1.998894e+000
1.360000e+000,-2.670647e-002,-3.754746e-002,-2.670329e-002,-9.996434e-001,-6.424193e-002,-1.998939e+000
1.400000e+000,-2.733300e-002,-3.545764e-002,-2.732960e-002,-9.996265e-001,-6.277982e-002,-1.998998e+000
1.440000e+000,-2.765854e-002,-3.311273e-002,-2.765501e-002,-9.996175e-001,-6.076169e-002,-1.999069e+000
1.480000e+000,-2.763628e-002,-3.059618e-002,-2.763277e-002,-9.996181e-001,-5.822417e-002,-1.999150e+000
1.520000e+000,-2.722766e-002,-2.798595e-002,-2.722429e-002,-9.996294e-001,-5.520659e-002,-1.999238e+000
1.560000e+000,-2.640468e-002,-2.535091e-002,-2.640161e-002,-9.996514e-001,-5.174980e-002,-1.999330e+000
1.600000e+000,-2.515192e-002,-2.274773e-002,-2.514927e-002,-9.996837e-001,-4.789504e-002,-1.999425e+000
1.640000e+000,-2.346791e-002,-2.021870e-002,-2.346575e-002,-9.997246e-001,-4.368307e-002,-1.999520e+000
1.680000e+000,-2.136578e-002,-1.779032e-002,-2.136416e-002,-9.997718e-001,-3.915354e-002,-1.999614e+000
1.720000e+000,-1.887335e-002,-1.547290e-002,-1.887223e-002,-9.998219e-001,-3.434452e-002,-1.999702e+000
1.760000e+000,-1.603235e-002,-1.326108e-002,-1.603167e-002,-9.998715e-001,-2.929236e-002,-1.999784e+000
1.800000e+000,-1.289708e-002,-1.113531e-002,-1.289672e-002,-9.999168e-001,-2.403180e-002,-1.999855e+000
1.840000e+000,-9.532370e-003,-9.064132e-003,-9.532226e-003,-9.999546e-001,-1.859623e-002,-1.999913e+000
1.880000e+000,-6.011119e-003,-7.007220e-003,-6.011083e-003,-9.999819e-001,-1.301825e-002,-1.999957e+000
1.920000e+000,-2.411334e-003,-4.918885e-003,-2.411332e-003,-9.999971e-001,-7.330197e-003,-1.999985e+000
1.960000e+000,1.187004e-003,-2.751967e-003,1.187004e-003,-9.999993e-001,-1.564960e-003,-1.999996e+000
